K,err_rate
29,0.1509433962264151
1,0.034482758620689655
3,0.05172413793103448
5,0.034482758620689655
7,0.05172413793103448
9,0.05172413793103448
11,0.05172413793103448
13,0.034482758620689655
15,0.034482758620689655
17,0.05172413793103448
19,0.05172413793103448
21,0.034482758620689655
23,0.034482758620689655
25,0.034482758620689655
27,0.034482758620689655
29,0.034482758620689655
1,0.05357142857142857
3,0.017857142857142856
5,0.017857142857142856
7,0.017857142857142856
9,0.03571428571428571
11,0.03571428571428571
13,0.017857142857142856
15,0.03571428571428571
17,0.03571428571428571
19,0.03571428571428571
21,0.03571428571428571
23,0.03571428571428571
25,0.03571428571428571
27,0.03571428571428571
29,0.05357142857142857
1,0.07017543859649122
3,0.03508771929824561
5,0.05263157894736842
7,0.05263157894736842
9,0.05263157894736842
11,0.05263157894736842
13,0.05263157894736842
15,0.07017543859649122
17,0.05263157894736842
19,0.05263157894736842
21,0.07017543859649122
23,0.07017543859649122
25,0.08771929824561403
27,0.10526315789473684
29,0.08771929824561403
1,0.018867924528301886
3,0.018867924528301886
5,0.018867924528301886
7,0.0
9,0.0
11,0.0
13,0.0
15,0.0
17,0.0
19,0.0
21,0.0
23,0.0
25,0.0
27,0.0
29,0.0
1,0.06
3,0.06
5,0.06
7,0.06
9,0.06
11,0.06
13,0.06
15,0.06
17,0.06
19,0.08
21,0.08
23,0.08
25,0.04
27,0.06
29,0.04
1,0.017241379310344827
3,0.034482758620689655
5,0.017241379310344827
7,0.034482758620689655
9,0.034482758620689655
11,0.034482758620689655
13,0.034482758620689655
15,0.05172413793103448
17,0.034482758620689655
19,0.034482758620689655
21,0.034482758620689655
23,0.034482758620689655
25,0.034482758620689655
27,0.017241379310344827
29,0.034482758620689655
1,0.03636363636363636
3,0.03636363636363636
5,0.05454545454545454
7,0.03636363636363636
9,0.01818181818181818
11,0.01818181818181818
13,0.03636363636363636
15,0.03636363636363636
17,0.01818181818181818
19,0.01818181818181818
21,0.01818181818181818
23,0.01818181818181818
25,0.03636363636363636
27,0.03636363636363636
29,0.05454545454545454
1,0.06666666666666667
3,0.1111111111111111
5,0.044444444444444446
7,0.06666666666666667
9,0.06666666666666667
11,0.06666666666666667
13,0.044444444444444446
15,0.06666666666666667
17,0.06666666666666667
19,0.06666666666666667
21,0.06666666666666667
23,0.06666666666666667
25,0.06666666666666667
27,0.06666666666666667
29,0.06666666666666667
1,0.0392156862745098
3,0.0392156862745098
5,0.0392156862745098
7,0.0392156862745098
9,0.0392156862745098
11,0.0392156862745098
13,0.0392156862745098
15,0.0196078431372549
17,0.0196078431372549
19,0.0196078431372549
21,0.0196078431372549
23,0.0196078431372549
25,0.0392156862745098
27,0.0392156862745098
29,0.0392156862745098
1,0.0392156862745098
3,0.0392156862745098
5,0.0392156862745098
7,0.058823529411764705
9,0.058823529411764705
11,0.058823529411764705
13,0.058823529411764705
15,0.058823529411764705
17,0.058823529411764705
19,0.058823529411764705
21,0.058823529411764705
23,0.0784313725490196
25,0.09803921568627451
27,0.09803921568627451
29,0.09803921568627451
1,0.05660377358490566
3,0.018867924528301886
5,0.03773584905660377
7,0.03773584905660377
9,0.018867924528301886
11,0.0
13,0.018867924528301886
15,0.018867924528301886
17,0.018867924528301886
19,0.018867924528301886
21,0.03773584905660377
23,0.03773584905660377
25,0.03773584905660377
27,0.03773584905660377
29,0.018867924528301886
1,0.017241379310344827
3,0.017241379310344827
5,0.0
7,0.0
9,0.0
11,0.0
13,0.0
15,0.0
17,0.0
19,0.0
21,0.0
23,0.0
25,0.0
27,0.0
29,0.0
1,0.09803921568627451
3,0.09803921568627451
5,0.11764705882352941
7,0.0784313725490196
9,0.0784313725490196
11,0.0784313725490196
13,0.0784313725490196
15,0.058823529411764705
17,0.0784313725490196
19,0.0784313725490196
21,0.09803921568627451
23,0.09803921568627451
25,0.11764705882352941
27,0.11764705882352941
29,0.11764705882352941
1,0.03389830508474576
3,0.03389830508474576
5,0.05084745762711865
7,0.05084745762711865
9,0.03389830508474576
11,0.03389830508474576
13,0.03389830508474576
15,0.03389830508474576
17,0.03389830508474576
19,0.03389830508474576
21,0.03389830508474576
23,0.06779661016949153
25,0.06779661016949153
27,0.06779661016949153
29,0.06779661016949153
1,0.02040816326530612
3,0.02040816326530612
5,0.0
7,0.02040816326530612
9,0.02040816326530612
11,0.02040816326530612
13,0.02040816326530612
15,0.0
17,0.0
19,0.0
21,0.0
23,0.04081632653061224
25,0.04081632653061224
27,0.04081632653061224
29,0.04081632653061224
1,0.10526315789473684
3,0.10526315789473684
5,0.10526315789473684
7,0.12280701754385964
9,0.12280701754385964
11,0.12280701754385964
13,0.12280701754385964
15,0.08771929824561403
17,0.08771929824561403
19,0.10526315789473684
21,0.10526315789473684
23,0.10526315789473684
25,0.10526315789473684
27,0.10526315789473684
29,0.14035087719298245
1,0.06451612903225806
3,0.08064516129032258
5,0.04838709677419355
7,0.04838709677419355
9,0.04838709677419355
11,0.03225806451612903
13,0.03225806451612903
15,0.04838709677419355
17,0.03225806451612903
19,0.03225806451612903
21,0.04838709677419355
23,0.03225806451612903
25,0.03225806451612903
27,0.08064516129032258
29,0.08064516129032258
1,0.018867924528301886
3,0.018867924528301886
5,0.0
7,0.018867924528301886
9,0.018867924528301886
11,0.03773584905660377
13,0.03773584905660377
15,0.05660377358490566
17,0.05660377358490566
19,0.05660377358490566
21,0.05660377358490566
23,0.05660377358490566
25,0.05660377358490566
27,0.07547169811320754
29,0.07547169811320754
1,0.05172413793103448
3,0.05172413793103448
5,0.06896551724137931
7,0.06896551724137931
9,0.06896551724137931
11,0.05172413793103448
13,0.06896551724137931
15,0.08620689655172414
17,0.08620689655172414
19,0.10344827586206896
21,0.10344827586206896
23,0.10344827586206896
25,0.10344827586206896
27,0.1206896551724138
29,0.13793103448275862
1,0.06451612903225806
3,0.08064516129032258
5,0.04838709677419355
7,0.04838709677419355
9,0.04838709677419355
11,0.06451612903225806
13,0.08064516129032258
15,0.08064516129032258
17,0.06451612903225806
19,0.06451612903225806
21,0.06451612903225806
23,0.06451612903225806
25,0.06451612903225806
27,0.06451612903225806
29,0.06451612903225806
1,0.05555555555555555
3,0.05555555555555555
5,0.05555555555555555
7,0.05555555555555555
9,0.037037037037037035
11,0.018518518518518517
13,0.018518518518518517
15,0.018518518518518517
17,0.018518518518518517
19,0.018518518518518517
21,0.018518518518518517
23,0.018518518518518517
25,0.018518518518518517
27,0.018518518518518517
29,0.018518518518518517
1,0.06557377049180328
3,0.08196721311475409
5,0.01639344262295082
7,0.01639344262295082
9,0.01639344262295082
11,0.01639344262295082
13,0.01639344262295082
15,0.03278688524590164
17,0.04918032786885246
19,0.04918032786885246
21,0.03278688524590164
23,0.03278688524590164
25,0.04918032786885246
27,0.08196721311475409
29,0.08196721311475409
1,0.017857142857142856
3,0.0
5,0.0
7,0.0
9,0.017857142857142856
11,0.017857142857142856
13,0.03571428571428571
15,0.017857142857142856
17,0.017857142857142856
19,0.017857142857142856
21,0.017857142857142856
23,0.03571428571428571
25,0.03571428571428571
27,0.03571428571428571
29,0.03571428571428571
1,0.019230769230769232
3,0.038461538461538464
5,0.038461538461538464
7,0.057692307692307696
9,0.038461538461538464
11,0.038461538461538464
13,0.057692307692307696
15,0.057692307692307696
17,0.038461538461538464
19,0.057692307692307696
21,0.07692307692307693
23,0.09615384615384616
25,0.09615384615384616
27,0.11538461538461539
29,0.11538461538461539
1,0.03389830508474576
3,0.03389830508474576
5,0.05084745762711865
7,0.03389830508474576
9,0.03389830508474576
11,0.05084745762711865
13,0.05084745762711865
15,0.03389830508474576
17,0.03389830508474576
19,0.03389830508474576
21,0.03389830508474576
23,0.03389830508474576
25,0.03389830508474576
27,0.03389830508474576
29,0.03389830508474576
1,0.03636363636363636
3,0.05454545454545454
5,0.03636363636363636
7,0.05454545454545454
9,0.05454545454545454
11,0.07272727272727272
13,0.07272727272727272
15,0.07272727272727272
17,0.09090909090909091
19,0.09090909090909091
21,0.09090909090909091
23,0.09090909090909091
25,0.09090909090909091
27,0.09090909090909091
29,0.09090909090909091
1,0.05454545454545454
3,0.05454545454545454
5,0.05454545454545454
7,0.05454545454545454
9,0.05454545454545454
11,0.05454545454545454
13,0.03636363636363636
15,0.03636363636363636
17,0.03636363636363636
19,0.03636363636363636
21,0.03636363636363636
23,0.01818181818181818
25,0.03636363636363636
27,0.03636363636363636
29,0.05454545454545454
1,0.07017543859649122
3,0.05263157894736842
5,0.07017543859649122
7,0.07017543859649122
9,0.07017543859649122
11,0.07017543859649122
13,0.07017543859649122
15,0.07017543859649122
17,0.05263157894736842
19,0.05263157894736842
21,0.07017543859649122
23,0.07017543859649122
25,0.07017543859649122
27,0.07017543859649122
29,0.07017543859649122
1,0.05172413793103448
3,0.06896551724137931
5,0.08620689655172414
7,0.06896551724137931
9,0.06896551724137931
11,0.08620689655172414
13,0.08620689655172414
15,0.10344827586206896
17,0.06896551724137931
19,0.10344827586206896
21,0.08620689655172414
23,0.08620689655172414
25,0.08620689655172414
27,0.10344827586206896
29,0.10344827586206896
1,0.037037037037037035
3,0.037037037037037035
5,0.037037037037037035
7,0.05555555555555555
9,0.05555555555555555
11,0.05555555555555555
13,0.05555555555555555
15,0.05555555555555555
17,0.05555555555555555
19,0.07407407407407407
21,0.05555555555555555
23,0.05555555555555555
25,0.037037037037037035
27,0.05555555555555555
29,0.07407407407407407
1,0.02
3,0.02
5,0.02
7,0.06
9,0.04
11,0.06
13,0.04
15,0.06
17,0.06
19,0.06
21,0.06
23,0.06
25,0.06
27,0.06
